rank,rank_sharpe,ma_window,entry_z,exit_z,zscore_valid_rows,sharpe_ratio,daily_return_count,daily_return_mean,daily_return_std,return_over_max_dd,sharpe_rank_eligible,trade_count,winning_trades,losing_trades,win_rate,gross_pnl_twd,net_pnl_twd,return_pct,max_drawdown_twd,max_drawdown_pct,profit_factor,avg_trade_pnl_twd,exposure_minutes,exposure_ratio,total_fee_twd,start,end,rank_net_pnl,rank_return_over_max_dd
48,48,52,3.0,0.5,2367,0.7284935052688819,114,0.00018949601301984203,0.00412928314058513,0.4733864958550349,False,13,8,5,0.6153846153846154,59988.29589119234,41698.149894657414,0.020849074947328655,-88201.96620222647,-0.04404239480822297,1.7085714682087108,3207.5499918967244,21765,0.10702957881537213,18290.14599653491,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,40,42
49,49,26,1.5,1.0,2393,-0.19083527576191,114,-6.556695833854531e-05,0.005454144637383075,-0.12742661074469708,False,72,32,40,0.4444444444444444,89522.58456536364,-18221.7335399005,-0.009110866769950255,-142997.86703429068,-0.07149893351714534,0.943801784529486,-253.07963249861803,77955,0.38334439772811096,107744.31810526414,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,53,49
50,50,9,2.0,0.0,2410,-0.2534208398485399,114,-6.632423261277958e-05,0.0041546091985684526,-0.2471283400565486,False,94,46,48,0.48936170212765956,127577.80614360141,-17001.8244346856,-0.008500912217342761,-68797.55041771056,-0.03439877520885528,0.9416710780241375,-180.87047270942128,21225,0.10437412406874677,144579.630578287,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,52,50
51,51,9,2.0,0.5,2410,-0.9024641585270369,114,-0.0002458470501060624,0.00432449410202249,-0.5626325841587507,False,93,43,50,0.46236559139784944,85956.5325214822,-57338.59934937348,-0.028669299674686743,-101911.26671965909,-0.05095563335982955,0.8142863411068261,-616.5440790255212,25515,0.12547023677804825,143295.1318708557,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,54,53
52,52,17,1.5,1.0,2402,-0.9445973030685964,114,-0.00033053445617004743,0.005554824058398255,-0.48237685313575895,False,88,35,53,0.3977272727272727,54364.2038683074,-77328.49142742698,-0.03866424571371346,-160307.21815265832,-0.08015360907632915,0.7882171813981367,-878.732857129852,68400,0.3363576012392122,131692.6952957343,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,55,51
53,53,17,1.5,0.5,2402,-1.0798180861309983,114,-0.0003766753085695625,0.005537539355713354,-0.504977377589977,False,112,47,65,0.41964285714285715,83613.45319606678,-87404.15791063695,-0.043702078955318545,-173085.2940933248,-0.0865426470466624,0.7875941511003163,-780.3942670592585,54825,0.2696024194143247,171017.61110670373,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,56,52
54,54,17,1.5,0.0,2402,-1.2800606642271277,114,-0.0003931713487146986,0.0048758639667894985,-0.7209796478949045,False,129,60,69,0.46511627906976744,106654.16482710402,-90251.14245708396,-0.045125571228542015,-125661.58119673934,-0.06258924417672308,0.8012674138044208,-699.62125935724,46440,0.22836910820978093,196905.30728418796,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,57,54
55,55,9,1.5,1.0,2410,-2.7372610365763146,114,-0.0009474460793597906,0.0054946313262789585,-0.910660468642097,False,126,53,73,0.42063492063492064,-15055.93914994678,-207922.6966179977,-0.10396134830899886,-228320.7669352719,-0.11416038346763595,0.6009215349518441,-1650.1801318888706,58470,0.2875267389540459,192866.75746805087,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,58,56
56,56,9,1.5,0.5,2410,-3.436757725388713,114,-0.0012432142474157967,0.005742451440325189,-0.9062489308512369,False,155,68,87,0.43870967741935485,-32142.225744845906,-267685.71822058543,-0.13384285911029276,-295377.6927153438,-0.1476888463576719,0.5666738418650666,-1727.0046336811963,50460,0.24813749354576972,235543.49247573956,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,59,55
57,57,9,1.5,0.0,2410,-4.227622859517072,114,-0.0014844843043506104,0.005574162726907604,-0.919089337445499,False,172,71,101,0.4127906976744186,-51012.99855578595,-314561.73620876187,-0.1572808681043809,-342253.7107035201,-0.17112685535176006,0.5184182930147652,-1828.847303539313,41430,0.20373238917164566,263548.73765297583,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,60,57
58,58,9,3.0,0.0,2410,,114,0.0,0.0,,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,49,58
59,59,9,3.0,0.5,2410,,114,0.0,0.0,,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,49,58
60,60,9,3.0,1.0,2410,,114,0.0,0.0,,False,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,2026-02-26 22:30:00+08:00,2026-07-18 03:45:00+08:00,49,58
