ma_window,entry_z,exit_z,trade_count,contracts_median,net_0.0,sharpe_0.0,dd_0.0,net_0.5,sharpe_0.5,dd_0.5,net_1.0,sharpe_1.0,dd_1.0,net_1.5,sharpe_1.5,dd_1.5,net_2.0,sharpe_2.0,dd_2.0,survives_1t
780,1.75,0.0,51,3.0,389052.80902954703,13.075388281140357,-0.019115014809096068,299552.80902954703,11.089637466874203,-0.019785542756198492,210052.80902954703,8.290325295303434,-0.020504823236370495,120552.8090295475,4.833233021537226,-0.027267699984354403,31052.809029547265,1.2193962918646162,-0.03963481427778946,True
780,1.75,0.25,45,4.0,425437.86278705904,12.969718384248557,-0.019011710004491682,345937.86278705904,11.324752535763029,-0.019606704391959943,266437.86278705904,9.15325372150424,-0.02024014410578069,186937.86278705904,6.533301367551047,-0.02484643927184054,107437.86278705904,3.6970711182710287,-0.03591305804496487,True
780,1.75,0.5,40,3.5,409036.00813170616,11.26531056800338,-0.01907553514587112,338536.00813170616,9.984358976103314,-0.019597927290703372,268036.00813170616,8.361362308352932,-0.02014973693670696,197536.00813170616,6.400476239546679,-0.020733520961017226,127036.00813170616,4.18150886886994,-0.02248498774157804,True
780,2.0,0.0,42,3.5,329842.419944149,12.217155858048399,-0.01953114503302533,255842.41994414898,10.332628580849116,-0.02011037137052418,181842.41994414898,7.741134566708433,-0.02240435302907986,107842.41994414898,4.62067486554832,-0.030676281383768322,33842.419944148976,1.4074565391066465,-0.040124377946108375,True
780,2.0,0.25,39,4.0,391076.9376740074,12.955692931320245,-0.01930960653847997,322076.9376740074,11.339802234803752,-0.019832035090306933,253076.93767400738,9.249112034403273,-0.020383518734064993,184076.93767400738,6.7792406153778355,-0.026690155048574155,115076.93767400738,4.144998027246324,-0.03490463137523297,True
780,2.0,0.5,34,3.5,371359.07240083534,11.20493648378432,-0.019402992358885315,311359.07240083534,9.96422697773724,-0.0198518846582725,251359.07240083534,8.416966448930388,-0.020322039301513162,191359.07240083534,6.583557597040202,-0.020815003610185068,131359.07240083534,4.546629660663642,-0.02221149084677398,True
780,2.5,0.0,28,3.0,286995.03160748724,12.606350375321087,-0.01989904826361741,237995.03160748724,11.085438581729111,-0.020271110473349264,188995.03160748724,9.255809956901759,-0.02065735103989753,139995.03160748724,7.123406116587106,-0.021058596157739994,90995.03160748724,4.740702458068724,-0.021475737484381124,True
780,2.5,0.25,28,3.0,354776.822265449,12.915109388438806,-0.0196133326001414,305776.822265449,11.658339897474242,-0.019974690172598147,256776.82226544898,10.18870324184195,-0.0203496130332899,207776.82226544898,8.509499675607287,-0.020738879651153085,158776.82226544898,6.6455310396648395,-0.021143329221919888,True
780,2.5,0.5,27,3.0,364559.5469645546,11.945929307128281,-0.019459711932555884,317559.5469645546,10.830483172505453,-0.019798045504272936,270559.5469645546,9.552504622512782,-0.02014835202099329,223559.54696455458,8.116069659881655,-0.020511278478338644,176559.54696455458,6.538803276544192,-0.020887519343606897,True
1560,1.0,0.0,73,3.0,487379.9073563162,12.749943805794956,-0.019591521163594992,360379.9073563162,10.28558108660937,-0.021396050474503145,233379.90735631622,6.942355494966472,-0.02970215217064015,106379.90735631622,3.134726669878581,-0.040814803170525396,-20620.092643683776,-0.5114611224836906,-0.059567062393353014,True
