window,entry_z,exit_z,sharpe,trades,net,maxdd_pct,ret_pct,exposure,med_ticks,under1,win_rate,hold_med_h,weekend,cross_share,neighbour_sharpe
2500,1.0,0.0,8.07724026155116,22,189935.91308353792,-0.021175839476426008,0.09496795654176897,0.7010856037833387,2.5112939417123235,0.18181818181818182,0.9090909090909091,22.008333333333333,5,0.7825728380842809,7.185682276861286
2500,1.0,0.25,8.093922982738151,20,192962.68253744356,-0.020980400391804585,0.09648134126872174,0.7643646250167532,2.565245268026989,0.1,0.95,23.55,5,0.7836505406175666,7.512247028543192
2500,1.0,0.5,8.47748155071056,18,201937.47504656808,-0.020963066105066458,0.10096873752328404,0.7782649485917785,3.393467351778116,0.05555555555555555,0.9444444444444444,24.0,6,0.7833405187512357,7.26207871037897
2500,1.5,-0.25,6.747406104030539,12,137725.29875738366,-0.021334198706978492,0.0688626493786918,0.4562216393191522,3.115804947871238,0.25,0.8333333333333334,23.966666666666665,3,0.7831118142653042,6.741448741903963
2500,1.5,0.0,5.9413240039585595,11,123393.10718426955,-0.02146121552605789,0.06169655359213473,0.5609718738631795,3.904330721831876,0.18181818181818182,0.8181818181818182,23.966666666666665,3,0.7835412801208307,6.773576266386534
2500,1.5,0.25,6.572673114917789,11,141060.48169506085,-0.021379291554041183,0.07053024084753054,0.6457140668977005,4.054833866112356,0.09090909090909091,0.9090909090909091,24.333333333333332,4,0.7834614796957092,6.572241633639888
2500,1.5,0.5,6.56540368564164,11,145176.25210172572,-0.021322763036539353,0.07258812605086296,0.653008864806908,4.054833866112356,0.09090909090909091,0.9090909090909091,24.616666666666667,5,0.7833523698218701,6.521998925791545
2500,2.0,-0.25,6.879956976184078,6,104005.72009432051,-0.021511617888820472,0.05200286004716018,0.2531352313848628,4.35205644494803,0.0,1.0,23.991666666666667,2,0.7857908290371209,5.519350627757026
2500,2.0,0.0,5.687722041797817,5,88284.73101913402,-0.02164127821265212,0.04414236550956697,0.3575599762584005,4.175537837940983,0.0,1.0,72.01666666666667,2,0.7873874283996821,5.7150097317533195
2500,2.0,0.25,5.882806447043406,5,91443.99485860446,-0.021639903276529027,0.0457219974293022,0.36024047942713816,4.509619964821132,0.0,1.0,72.81666666666666,2,0.7869077416864249,5.274007172586834
2500,2.0,0.5,5.583378971035465,5,91383.11255693348,-0.02162507904370393,0.04569155627846671,0.367056616056214,4.383137690700521,0.0,1.0,78.46666666666667,3,0.7868046217843027,5.032072162088761
2500,2.5,-0.25,3.3276759014296973,2,41467.076325502625,-0.02217093466430823,0.020733538162751357,0.08282754791399415,5.401654370265413,0.0,1.0,36.05,0,0.7791309705211398,4.755349774938035
2500,2.5,0.0,3.3135149400979884,2,38345.85467488663,-0.02217093466430823,0.01917292733744334,0.11007294797909208,5.089532205203813,0.0,1.0,47.90833333333333,0,0.7813618958460096,4.317999404552976
2500,2.5,0.25,3.552673222990471,2,41372.30088983291,-0.02217093466430823,0.020686150444916448,0.11099197763694499,5.3921768266984405,0.0,1.0,48.30833333333333,0,0.7802220690967978,3.966398047726403
2500,2.5,0.5,3.152512110794726,2,39878.3379835781,-0.02217093466430823,0.019939168991789106,0.11748262459553122,5.24278053607296,0.0,1.0,51.13333333333333,1,0.7801379698749645,3.9405941321656326
3900,0.75,-0.25,5.509179753630165,32,133269.23369186922,-0.022711884043250006,0.06663461684593465,0.7778245802140573,0.9097602451060167,0.53125,0.75,10.066666666666666,5,0.7859068427164043,6.4726439546100565
3900,0.75,0.0,6.251552928383064,26,155356.56527245973,-0.022294166250877302,0.07767828263622988,0.789542208351682,1.404006265659398,0.4230769230769231,0.9230769230769231,19.308333333333334,5,0.7869065769398847,6.62963836086405
3900,0.75,0.25,5.711881443636572,22,147396.29280034176,-0.0223266737095935,0.07369814640017086,0.9033678607670068,2.1203025367301453,0.2727272727272727,0.8636363636363636,21.625,6,0.7876595815232237,6.332744839810825
3900,0.75,0.5,4.487116537028465,17,120859.86175562617,-0.022324400985043586,0.06042993087781314,0.9190870972065328,2.2556958060921293,0.23529411764705882,0.8823529411764706,23.533333333333335,4,0.7896807206351427,6.564299992167759
3900,1.0,-0.25,6.725487148895214,22,160017.34881120466,-0.021358916776958843,0.08000867440560228,0.7039575714641291,1.5930167401122246,0.3181818181818182,0.9090909090909091,22.6,5,0.7858160064691787,6.932567919701913
3900,1.0,0.0,7.948768785719207,19,181365.53287321725,-0.020978063501110766,0.09068276643660851,0.7322177334431064,2.569786599004284,0.05263157894736842,0.9473684210526315,24.0,5,0.7866509224125411,6.902901763736355
3900,1.0,0.25,6.7532990702843465,18,179941.6982812584,-0.02106214515209913,0.08997084914062917,0.8751076987880296,2.520034209902126,0.1111111111111111,0.9444444444444444,24.008333333333333,6,0.78753052803491,6.387979594223264
3900,1.0,0.5,5.102737379020654,14,142529.56869950163,-0.021170358850373765,0.07126478434975073,0.8874571598154282,3.4246501861590684,0.07142857142857142,0.9285714285714286,24.008333333333333,4,0.7891514947262097,5.839494942554379
3900,1.5,-0.25,6.846471880255321,12,144600.1995019316,-0.021705206624567222,0.07230009975096584,0.596794884068238,3.539797710952957,0.08333333333333333,0.9166666666666666,24.008333333333333,4,0.7807123539688666,6.624428125273283
3900,1.5,0.0,6.706929409567991,11,135160.87243149028,-0.02157106967595479,0.06758043621574529,0.6485860345784908,3.6920620778902795,0.09090909090909091,0.9090909090909091,43.13333333333333,4,0.7814534612493436,6.510413792815628
3900,1.5,0.25,5.082587380001739,10,129850.04784054305,-0.021644823627565053,0.06492502392027155,0.734113232112428,3.8388520813562335,0.1,0.9,54.975,5,0.7825524942959209,5.569198912978277
3900,1.5,0.5,3.6400826121941416,8,92974.93045736104,-0.021660026104830567,0.046487465228680525,0.7478412376266059,3.7466453217490696,0.125,0.875,46.358333333333334,4,0.784263469321447,5.053145427875924
3900,2.0,-0.25,6.317889838599388,6,120957.86969107142,-0.02166522280907209,0.060478934845535785,0.3566983859541634,5.60818591489585,0.0,1.0,36.275,2,0.7842186703592667,6.350032238261646
3900,2.0,0.0,6.732916914143311,6,122508.6825296136,-0.021627738554035904,0.06125434126480669,0.38467135116506157,5.401369331939421,0.0,1.0,48.44166666666667,2,0.784472845061509,5.6040667006866025
3900,2.0,0.25,4.173010357927115,5,100879.74260130481,-0.02169926351661938,0.05043987130065239,0.4698539125773038,5.692226667066925,0.0,1.0,95.31666666666666,3,0.7872432892507867,4.910545854247312
3900,2.0,0.5,3.461853266839662,5,83601.10591671329,-0.021810480241938327,0.04180055295835668,0.6383426831836719,5.050123808690092,0.0,1.0,95.31666666666666,3,0.7867192275406804,3.998456629174132
3900,2.5,-0.25,4.940783182463874,3,76257.51266710006,-0.021819999558651104,0.03812875633354997,0.11032185184476058,5.98364329007544,0.0,1.0,24.0,0,0.7804914815074954,4.9267825318565945
3900,2.5,0.0,5.1347818555407,3,74189.34683753578,-0.021819999558651104,0.03709467341876787,0.13821823125083765,5.98364329007544,0.0,1.0,24.0,0,0.7809988402746797,4.594945074978403
3900,2.5,0.25,3.3925652632084415,3,80102.38034876474,-0.021915483566849536,0.04005119017438241,0.2475636140841295,5.98364329007544,0.0,1.0,24.0,1,0.781689111849654,3.864455002999523
3900,2.5,0.5,2.597354575539805,3,60822.785310204505,-0.02204861989418032,0.030411392655102305,0.41601409178808707,5.98364329007544,0.0,1.0,24.0,1,0.7808942572716557,3.33564354694761
