basket_id,direction,tranches_filled,entry_first_time,entry_last_time,ref_spread,std_ref,vwa_entry_spread,qff_contracts,gross_notional_twd,exit_time,exit_reason,exit_spread,mae_spread,mae_k,gross_pnl_twd,total_fee_twd,net_pnl_twd,holding_minutes
34,long_tsm_short_qff,1,2026-07-03 03:19:00+08:00,2026-07-03 03:19:00+08:00,-2.198631130624114,0.6484836761387145,-2.198631130624114,-1,316000.0,2026-07-06 21:52:00+08:00,zscore_exit,-1.3605279238619916,0.24779814872630412,0.38211933136355253,2887.007949901148,1462.2563415695374,1424.7516083316107,5433
35,short_tsm_long_qff,1,2026-07-06 22:18:00+08:00,2026-07-06 22:18:00+08:00,-0.5627066590258442,0.6496017862324908,-0.5627066590258442,1,344000.0,2026-07-06 23:13:00+08:00,zscore_exit,-1.4250183972600896,0.0,0.0,2936.504102146283,1451.7363615356453,1484.7677406106377,55
36,long_tsm_short_qff,1,2026-07-07 01:19:00+08:00,2026-07-07 01:19:00+08:00,-2.320640821878987,0.6359459649184209,-2.320640821878987,-1,342000.0,2026-07-07 21:31:00+08:00,zscore_exit,0.1248230059010753,0.633227144952611,0.995724762612247,7748.995100894132,1471.290246401496,6277.704854492636,1212
37,short_tsm_long_qff,1,2026-07-07 21:33:00+08:00,2026-07-07 21:33:00+08:00,-0.4183571577961391,0.6620032291817398,-0.4183571577961391,1,310000.0,2026-07-08 23:05:00+08:00,zscore_exit,-1.7308073246672828,0.4896994420429559,0.7397236455300109,4159.495675170414,1446.3382208188873,2713.1574543515267,1532
38,long_tsm_short_qff,1,2026-07-08 23:51:00+08:00,2026-07-08 23:51:00+08:00,-2.53756457543583,0.6856890223647826,-2.53756457543583,-1,319000.0,2026-07-09 01:00:00+08:00,zscore_exit,-1.220373531671409,0.0,0.0,4283.066749698566,1464.4371841188815,2818.629565579685,69
39,long_tsm_short_qff,1,2026-07-09 03:41:00+08:00,2026-07-09 03:41:00+08:00,-2.014131076680719,0.67766258962055,-2.014131076680719,-1,322000.0,2026-07-09 21:31:00+08:00,zscore_exit,-0.9553654491529616,0.17026161363460757,0.2512483590542363,3438.1795046288626,1462.386523533968,1975.7929810948945,1070
40,short_tsm_long_qff,1,2026-07-09 21:34:00+08:00,2026-07-09 21:34:00+08:00,-0.4416149457186814,0.6786990525915215,-0.4416149457186814,1,324000.0,2026-07-13 21:34:00+08:00,zscore_exit,-1.837202425396789,0.6762765227825015,0.9964306273896067,4254.849789963351,1446.5531612717007,2808.2966286916508,5760
41,long_tsm_short_qff,1,2026-07-13 21:42:00+08:00,2026-07-13 21:42:00+08:00,-2.232203015502398,0.7344191773030042,-2.232203015502398,-1,303000.0,2026-07-13 22:15:00+08:00,zscore_exit,-1.1001727390947642,0.1257668841970383,0.17124673222571613,3461.1753161575816,1462.5964673807953,1998.5788487767863,33
42,short_tsm_long_qff,1,2026-07-13 22:47:00+08:00,2026-07-13 22:47:00+08:00,-0.3355620664613367,0.7303077806874954,-0.3355620664613367,1,304000.0,2026-07-14 21:53:00+08:00,zscore_exit,-1.3749786728891336,0.3052680048212088,0.41799911337906925,3226.2499372898965,1447.7710303833805,1778.478906906516,1386
43,long_tsm_short_qff,2,2026-07-15 21:31:00+08:00,2026-07-15 22:30:00+08:00,-2.335363142141293,0.6501398271698039,-2.949073019970556,-2,671000.0,2026-07-16 21:31:00+08:00,zscore_exit,-0.986579258970138,1.3974453296579759,2.149453504089037,11892.822009708074,2939.26660169325,8953.555408014825,1440
